Method:,Column 1,,
Host Date-Time:,19/11/24 @ 14:26:11,,
Header Version:,1,,
System Temp (C):,30.43,,
Detector Temp (C):,28.34,,
Humidity (%):,9.02,,
Lamp PD:,3817,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.705,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,1.334407,108485.000000,5023.000000
905.375756,1.344073,121306.000000,5493.000000
909.237442,1.333523,131909.000000,6120.000000
913.094897,1.329197,143299.000000,6715.000000
916.948121,1.324978,156982.000000,7428.000000
922.079171,1.311181,179937.000000,8789.000000
925.922522,1.295058,200504.000000,10164.000000
929.761641,1.309778,222660.000000,10911.000000
933.596530,1.304108,244426.000000,12135.000000
937.427188,1.318130,263972.000000,12689.000000
941.253614,1.305903,281845.000000,13935.000000
945.075809,1.305304,297271.000000,14718.000000
950.165487,1.310412,315605.000000,15443.000000
953.977810,1.285080,328029.000000,17015.000000
957.785901,1.307701,340470.000000,16764.000000
961.589761,1.292748,352317.000000,17955.000000
965.389390,1.303617,363056.000000,18045.000000
969.184788,1.289865,373162.000000,19144.000000
972.975955,1.296887,382632.000000,19315.000000
976.762890,1.298133,391202.000000,19691.000000
981.805555,1.297216,400190.000000,20186.000000
985.582618,1.291895,406088.000000,20736.000000
989.355450,1.292186,410162.000000,20930.000000
993.124050,1.303930,412868.000000,20506.000000
996.888419,1.291719,414263.000000,21162.000000
1000.648557,1.289901,415476.000000,21313.000000
1004.404464,1.296785,415479.000000,20978.000000
1009.405758,1.292682,414358.000000,21120.000000
1013.151792,1.296742,412923.000000,20851.000000
1016.893595,1.290259,411526.000000,21093.000000
1020.631167,1.292583,409066.000000,20855.000000
1024.364507,1.286641,406777.000000,21024.000000
1028.093617,1.285781,404427.000000,20944.000000
1031.818495,1.300588,401911.000000,20116.000000
1036.778417,1.292963,398410.000000,20294.000000
1040.493423,1.300005,396204.000000,19857.000000
1044.204197,1.296532,394236.000000,19917.000000
1047.910740,1.290958,392042.000000,20062.000000
1051.613052,1.305941,389823.000000,19272.000000
1055.311133,1.297814,388234.000000,19556.000000
1059.004983,1.300962,387599.000000,19383.000000
1063.923534,1.298754,386688.000000,19436.000000
1067.607511,1.295846,386598.000000,19562.000000
1071.287257,1.293535,387377.000000,19706.000000
1074.962771,1.293534,388536.000000,19765.000000
1078.634055,1.300824,389855.000000,19502.000000
1082.301107,1.300847,391215.000000,19569.000000
1085.963928,1.296017,393215.000000,19889.000000
1090.841108,1.302226,396270.000000,19759.000000
1094.494056,1.300965,398760.000000,19941.000000
1098.142773,1.299179,400987.000000,20135.000000
1101.787259,1.309988,403477.000000,19762.000000
1105.427514,1.311174,406116.000000,19837.000000
1109.063538,1.308141,407701.000000,20054.000000
1112.695330,1.313650,409859.000000,19906.000000
1117.531139,1.311143,412494.000000,20150.000000
1121.153058,1.311635,414909.000000,20245.000000
1124.770747,1.314562,416559.000000,20189.000000
1128.384204,1.306514,418532.000000,20664.000000
1131.993431,1.310836,419956.000000,20529.000000
1135.598426,1.324705,421946.000000,19978.000000
1139.199190,1.311001,423881.000000,20713.000000
1143.993626,1.311834,426786.000000,20815.000000
1147.584518,1.319469,428617.000000,20540.000000
1151.171178,1.306146,431169.000000,21306.000000
1154.753606,1.309709,433579.000000,21250.000000
1158.331804,1.314706,436264.000000,21137.000000
1161.905771,1.311472,439132.000000,21435.000000
1165.475506,1.316610,442389.000000,21340.000000
1169.041010,1.306636,446101.000000,22019.000000
1173.788434,1.312056,451929.000000,22030.000000
