Method:,Column 1,,
Host Date-Time:,18/4/24 @ 11:49:52,,
Header Version:,1,,
System Temp (C):,32.98,,
Detector Temp (C):,31.58,,
Humidity (%):,3.66,,
Lamp PD:,3744,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.683,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,-0.020895,108485.000000,113832.000000
905.375756,-0.015526,121306.000000,125721.000000
909.237442,-0.015767,131909.000000,136786.000000
913.094897,-0.014889,143299.000000,148297.000000
916.948121,-0.013161,156982.000000,161812.000000
922.079171,-0.013198,179937.000000,185489.000000
925.922522,-0.012566,200504.000000,206390.000000
929.761641,-0.012354,222660.000000,229085.000000
933.596530,-0.012318,244426.000000,251458.000000
937.427188,-0.012218,263972.000000,271504.000000
941.253614,-0.012581,281845.000000,290129.000000
945.075809,-0.013136,297271.000000,306400.000000
950.165487,-0.013986,315605.000000,325934.000000
953.977810,-0.014624,328029.000000,339263.000000
957.785901,-0.015027,340470.000000,352457.000000
961.589761,-0.014552,352317.000000,364322.000000
965.389390,-0.015089,363056.000000,375892.000000
969.184788,-0.014724,373162.000000,386030.000000
972.975955,-0.013845,382632.000000,395027.000000
976.762890,-0.013571,391202.000000,403619.000000
981.805555,-0.012512,400190.000000,411887.000000
985.582618,-0.012614,406088.000000,418056.000000
989.355450,-0.012035,410162.000000,421687.000000
993.124050,-0.011830,412868.000000,424269.000000
996.888419,-0.011289,414263.000000,425172.000000
1000.648557,-0.011476,415476.000000,426601.000000
1004.404464,-0.010878,415479.000000,426017.000000
1009.405758,-0.009938,414358.000000,423949.000000
1013.151792,-0.010226,412923.000000,422761.000000
1016.893595,-0.009764,411526.000000,420883.000000
1020.631167,-0.011076,409066.000000,419633.000000
1024.364507,-0.010478,406777.000000,416710.000000
1028.093617,-0.011021,404427.000000,414821.000000
1031.818495,-0.011048,401911.000000,412266.000000
1036.778417,-0.011520,398410.000000,409120.000000
1040.493423,-0.011745,396204.000000,407065.000000
1044.204197,-0.011954,394236.000000,405238.000000
1047.910740,-0.012038,392042.000000,403061.000000
1051.613052,-0.012325,389823.000000,401044.000000
1055.311133,-0.012314,388234.000000,399400.000000
1059.004983,-0.012325,387599.000000,398756.000000
1063.923534,-0.012534,386688.000000,398011.000000
1067.607511,-0.012602,386598.000000,397980.000000
1071.287257,-0.012260,387377.000000,398468.000000
1074.962771,-0.011680,388536.000000,399127.000000
1078.634055,-0.011307,389855.000000,400138.000000
1082.301107,-0.011115,391215.000000,401357.000000
1085.963928,-0.012518,393215.000000,404714.000000
1090.841108,-0.012454,396270.000000,407798.000000
1094.494056,-0.013202,398760.000000,411068.000000
1098.142773,-0.013453,400987.000000,413603.000000
1101.787259,-0.014053,403477.000000,416746.000000
1105.427514,-0.014253,406116.000000,419665.000000
1109.063538,-0.015165,407701.000000,422189.000000
1112.695330,-0.016121,409859.000000,425359.000000
1117.531139,-0.017033,412494.000000,428993.000000
1121.153058,-0.016511,414909.000000,430987.000000
1124.770747,-0.017385,416559.000000,433572.000000
1128.384204,-0.017301,418532.000000,435542.000000
1131.993431,-0.017919,419956.000000,437646.000000
1135.598426,-0.017802,421946.000000,439601.000000
1139.199190,-0.017340,423881.000000,441148.000000
1143.993626,-0.016406,426786.000000,443217.000000
1147.584518,-0.015773,428617.000000,444470.000000
1151.171178,-0.015846,431169.000000,447192.000000
1154.753606,-0.015110,433579.000000,448930.000000
1158.331804,-0.014852,436264.000000,451441.000000
1161.905771,-0.014149,439132.000000,453674.000000
1165.475506,-0.013169,442389.000000,456009.000000
1169.041010,-0.012884,446101.000000,459534.000000
1173.788434,-0.010638,451929.000000,463136.000000
1177.344065,-0.009462,456026.000000,466071.000000
1180.895466,-0.007565,461306.000000,469412.000000
1184.442635,-0.005730,467657.000000,473868.000000
1187.985573,-0.003567,473969.000000,477878.000000
1191.524279,-0.002232,479856.000000,482328.000000
1195.058755,-0.000051,487372.000000,487429.000000
1199.764807,0.002075,497347.000000,494976.000000
1203.289410,0.002458,504311.000000,501465.000000
1206.809782,0.003874,511507.000000,506965.000000
1210.325922,0.004712,519078.000000,513476.000000
1213.837832,0.005358,527163.000000,520699.000000
1217.345510,0.005383,534208.000000,527627.000000
1220.848957,0.005708,540472.000000,533415.000000
1225.513638,0.005233,549929.000000,543343.000000
1229.007212,0.004981,556888.000000,550538.000000
1232.496555,0.003820,562180.000000,557257.000000
1235.981667,0.002711,567975.000000,564440.000000
1239.462548,0.001445,574815.000000,572905.000000
1242.939198,0.000130,582782.000000,582607.000000
1246.411616,-0.000942,591476.000000,592761.000000
1251.034925,-0.001145,604016.000000,605611.000000
1254.497471,-0.000981,612289.000000,613673.000000
1257.955786,-0.001489,619125.000000,621252.000000
1261.409869,-0.001646,624551.000000,626923.000000
1264.859721,-0.001934,629900.000000,632711.000000
1268.305342,-0.002262,634345.000000,637658.000000
1271.746732,-0.002198,638574.000000,641814.000000
1276.328670,-0.002934,642499.000000,646855.000000
1279.760187,-0.003812,645905.000000,651599.000000
1283.187473,-0.004864,648307.000000,655608.000000
1286.610528,-0.005571,650446.000000,658844.000000
1290.029352,-0.006183,652132.000000,661483.000000
1293.443944,-0.006955,653907.000000,664463.000000
1296.854305,-0.007183,655963.000000,666902.000000
1301.394872,-0.007737,657349.000000,669165.000000
1304.795360,-0.008001,657558.000000,669784.000000
1308.191618,-0.008464,658515.000000,671474.000000
1311.583644,-0.008689,658804.000000,672118.000000
1314.971439,-0.008204,659011.000000,671578.000000
1318.355003,-0.008018,658272.000000,670538.000000
1321.734336,-0.007682,658022.000000,669765.000000
1326.233531,-0.006965,657870.000000,668506.000000
1329.602991,-0.006214,656482.000000,665942.000000
1332.968219,-0.005389,654926.000000,663103.000000
1336.329217,-0.004191,653727.000000,660066.000000
1339.685984,-0.002995,652497.000000,657012.000000
1343.038519,-0.001551,649913.000000,652238.000000
1346.386823,0.000668,647671.000000,646675.000000
1349.730896,0.002935,645338.000000,640992.000000
1354.183078,0.006358,641175.000000,631857.000000
1357.517278,0.008982,638376.000000,625309.000000
1360.847247,0.011227,635805.000000,619580.000000
1364.172985,0.013146,633413.000000,614527.000000
1367.494492,0.014209,631026.000000,610714.000000
1370.811767,0.015234,628050.000000,606401.000000
1374.124812,0.015405,625034.000000,603252.000000
1378.535622,0.015772,620272.000000,598150.000000
1381.838794,0.016408,616892.000000,594020.000000
1385.137734,0.017575,613613.000000,589277.000000
1388.432444,0.018950,611526.000000,585416.000000
1391.722922,0.021397,610663.000000,581306.000000
1395.009169,0.024290,610634.000000,577419.000000
1398.291185,0.028803,611700.000000,572447.000000
1402.660624,0.035581,614051.000000,565748.000000
1405.932767,0.043063,616268.000000,558093.000000
1409.200679,0.050766,617795.000000,549640.000000
1412.464359,0.059973,618872.000000,539049.000000
1415.723809,0.069072,619795.000000,528660.000000
1418.979027,0.077905,620495.000000,518601.000000
1422.230015,0.086883,621087.000000,508475.000000
1426.558082,0.097295,621375.000000,496660.000000
1429.799197,0.103913,621616.000000,489338.000000
1433.036080,0.109285,622129.000000,483722.000000
1436.268732,0.114436,621526.000000,477555.000000
1439.497153,0.118631,621113.000000,472650.000000
1442.721343,0.122132,620921.000000,468710.000000
1445.941302,0.126014,620270.000000,464052.000000
1450.227998,0.130866,618860.000000,457853.000000
1453.438084,0.134528,617697.000000,453156.000000
1456.643939,0.138722,616264.000000,447760.000000
1459.845562,0.142840,614413.000000,442202.000000
1463.042954,0.147096,612307.000000,436388.000000
1466.236116,0.152657,610032.000000,429235.000000
1469.425046,0.157804,607345.000000,422310.000000
1473.670371,0.163178,603789.000000,414674.000000
1476.849428,0.164903,601175.000000,411242.000000
1480.024254,0.163973,597737.000000,409767.000000
1483.194849,0.163079,594479.000000,408373.000000
1486.361213,0.161550,591232.000000,407575.000000
1489.523345,0.159781,587853.000000,406900.000000
1492.681247,0.158000,583875.000000,405807.000000
1496.885200,0.155532,578062.000000,404057.000000
1500.033229,0.153699,574159.000000,403026.000000
1503.177027,0.151534,570285.000000,402307.000000
1506.316593,0.148773,565444.000000,401436.000000
1509.451928,0.146479,560571.000000,400084.000000
1512.583032,0.143905,555821.000000,399052.000000
1515.709905,0.141944,550344.000000,396908.000000
1519.872487,0.139916,543983.000000,394157.000000
1522.989487,0.138942,538764.000000,391252.000000
1526.102256,0.138287,533692.000000,388154.000000
1529.210794,0.137811,527902.000000,384364.000000
1532.315101,0.137889,521886.000000,379915.000000
1535.415176,0.137941,515888.000000,375504.000000
1538.511021,0.137794,509987.000000,371334.000000
1541.602634,0.137535,503936.000000,367147.000000
1545.718203,0.137104,494694.000000,360772.000000
1548.799943,0.136444,488378.000000,356707.000000
1551.877452,0.135766,481832.000000,352476.000000
1554.950730,0.136312,474989.000000,347034.000000
1558.019777,0.135676,467818.000000,342295.000000
1561.084593,0.135637,460730.000000,337139.000000
1564.145177,0.136129,454170.000000,331963.000000
1568.219375,0.135494,444181.000000,325137.000000
1571.270087,0.134877,436947.000000,320296.000000
1574.316568,0.133851,429598.000000,315654.000000
1577.358817,0.132920,422039.000000,310765.000000
1580.396835,0.131655,414375.000000,306012.000000
1583.430622,0.130497,406354.000000,300890.000000
1586.460178,0.128803,398475.000000,296209.000000
1590.493005,0.125534,388982.000000,291337.000000
1593.512688,0.123367,380708.000000,286566.000000
1596.528140,0.119730,372727.000000,282918.000000
1599.539361,0.117294,365060.000000,278657.000000
1602.546350,0.113964,357543.000000,275020.000000
1605.549109,0.110767,349495.000000,270816.000000
1608.547636,0.108186,341154.000000,265928.000000
1612.539091,0.104052,330877.000000,260384.000000
1615.527746,0.100003,322904.000000,256490.000000
1618.512169,0.097598,315116.000000,251694.000000
1621.492362,0.094267,307217.000000,247274.000000
1624.468323,0.091624,299481.000000,242519.000000
1627.440053,0.090239,292112.000000,237307.000000
1630.407551,0.086840,284245.000000,232730.000000
1634.357635,0.083335,274079.000000,226225.000000
1637.315261,0.081136,266916.000000,221431.000000
1640.268656,0.078412,259612.000000,216727.000000
1643.217819,0.076424,251804.000000,211173.000000
1646.162752,0.074260,244348.000000,205944.000000
1649.103453,0.071096,236703.000000,200959.000000
1652.039924,0.066947,228171.000000,195575.000000
1655.948635,0.059409,215408.000000,187868.000000
1658.875233,0.053457,204937.000000,181202.000000
1661.797599,0.045390,193395.000000,174203.000000
1664.715734,0.037611,179728.000000,164818.000000
1667.629638,0.024890,163642.000000,154527.000000
1670.539311,0.011118,146312.000000,142614.000000
1673.444753,-0.002024,128451.000000,129051.000000
1677.312093,-0.017271,105080.000000,109343.000000
1680.207662,-0.023647,88906.000000,93881.000000
1683.099000,-0.030047,75033.000000,80408.000000
1685.986106,-0.028940,63520.000000,67897.000000
1688.868982,-0.027476,53714.000000,57222.000000
1691.747626,-0.024945,45653.000000,48352.000000
1694.622039,-0.022120,39137.000000,41182.000000
1697.492221,-0.017922,33776.000000,35199.000000
1701.312548,-0.001585,28175.000000,28278.000000
