Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:9:11,,
Header Version:,1,,
System Temp (C):,34.56,,
Detector Temp (C):,34.41,,
Humidity (%):,1.08,,
Lamp PD:,3821,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.724,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,-0.009268,108485.000000,110825.000000
905.375756,-0.004183,121306.000000,122480.000000
909.237442,-0.000885,131909.000000,132178.000000
913.094897,-0.000351,143299.000000,143415.000000
916.948121,-0.000290,156982.000000,157087.000000
922.079171,0.001867,179937.000000,179165.000000
925.922522,0.002611,200504.000000,199302.000000
929.761641,0.002743,222660.000000,221258.000000
933.596530,0.003153,244426.000000,242658.000000
937.427188,0.002419,263972.000000,262506.000000
941.253614,0.001847,281845.000000,280649.000000
945.075809,0.002173,297271.000000,295787.000000
950.165487,0.000147,315605.000000,315498.000000
953.977810,-0.000975,328029.000000,328766.000000
957.785901,-0.001041,340470.000000,341287.000000
961.589761,-0.001165,352317.000000,353263.000000
965.389390,-0.001552,363056.000000,364356.000000
969.184788,-0.002001,373162.000000,374885.000000
972.975955,-0.001902,382632.000000,384311.000000
976.762890,-0.001400,391202.000000,392465.000000
981.805555,-0.001351,400190.000000,401437.000000
985.582618,-0.000861,406088.000000,406894.000000
989.355450,-0.000984,410162.000000,411092.000000
993.124050,-0.001167,412868.000000,413979.000000
996.888419,-0.001159,414263.000000,415370.000000
1000.648557,-0.000833,415476.000000,416274.000000
1004.404464,-0.001026,415479.000000,416462.000000
1009.405758,-0.000461,414358.000000,414798.000000
1013.151792,-0.000056,412923.000000,412976.000000
1016.893595,-0.000180,411526.000000,411697.000000
1020.631167,-0.000759,409066.000000,409782.000000
1024.364507,-0.000224,406777.000000,406987.000000
1028.093617,-0.000505,404427.000000,404898.000000
1031.818495,-0.000119,401911.000000,402021.000000
1036.778417,-0.000666,398410.000000,399021.000000
1040.493423,-0.001494,396204.000000,397569.000000
1044.204197,-0.001611,394236.000000,395701.000000
1047.910740,-0.002041,392042.000000,393889.000000
1051.613052,-0.001915,389823.000000,391546.000000
1055.311133,-0.001880,388234.000000,389918.000000
1059.004983,-0.001779,387599.000000,389190.000000
1063.923534,-0.002684,386688.000000,389085.000000
1067.607511,-0.002675,386598.000000,388987.000000
1071.287257,-0.002798,387377.000000,389881.000000
1074.962771,-0.002877,388536.000000,391118.000000
1078.634055,-0.003673,389855.000000,393166.000000
1082.301107,-0.003841,391215.000000,394690.000000
1085.963928,-0.003640,393215.000000,396525.000000
1090.841108,-0.004223,396270.000000,400142.000000
1094.494056,-0.004038,398760.000000,402485.000000
1098.142773,-0.003125,400987.000000,403883.000000
1101.787259,-0.002630,403477.000000,405928.000000
1105.427514,-0.001859,406116.000000,407858.000000
1109.063538,-0.000186,407701.000000,407876.000000
1112.695330,0.002235,409859.000000,407755.000000
1117.531139,0.007095,412494.000000,405810.000000
1121.153058,0.011613,414909.000000,403961.000000
1124.770747,0.014843,416559.000000,402563.000000
1128.384204,0.015232,418532.000000,404107.000000
1131.993431,0.013103,419956.000000,407475.000000
1135.598426,0.009368,421946.000000,412942.000000
1139.199190,0.005607,423881.000000,418444.000000
1143.993626,0.003812,426786.000000,423056.000000
1147.584518,0.003192,428617.000000,425478.000000
1151.171178,0.003406,431169.000000,427801.000000
1154.753606,0.003114,433579.000000,430481.000000
1158.331804,0.003779,436264.000000,432484.000000
1161.905771,0.004561,439132.000000,434544.000000
1165.475506,0.004818,442389.000000,437508.000000
1169.041010,0.004501,446101.000000,441502.000000
1173.788434,0.004865,451929.000000,446895.000000
1177.344065,0.004160,456026.000000,451679.000000
1180.895466,0.002857,461306.000000,458281.000000
1184.442635,0.002074,467657.000000,465429.000000
1187.985573,0.001229,473969.000000,472630.000000
1191.524279,0.000349,479856.000000,479471.000000
1195.058755,-0.000280,487372.000000,487686.000000
1199.764807,-0.000414,497347.000000,497821.000000
1203.289410,-0.000876,504311.000000,505329.000000
1206.809782,-0.001007,511507.000000,512694.000000
1210.325922,-0.001250,519078.000000,520574.000000
1213.837832,-0.000839,527163.000000,528182.000000
1217.345510,-0.000756,534208.000000,535139.000000
1220.848957,-0.001157,540472.000000,541914.000000
1225.513638,-0.000949,549929.000000,551132.000000
1229.007212,-0.000792,556888.000000,557904.000000
1232.496555,-0.001707,562180.000000,564394.000000
1235.981667,-0.001725,567975.000000,570235.000000
1239.462548,-0.002450,574815.000000,578067.000000
1242.939198,-0.002574,582782.000000,586246.000000
1246.411616,-0.002911,591476.000000,595454.000000
1251.034925,-0.002401,604016.000000,607364.000000
1254.497471,-0.001826,612289.000000,614869.000000
1257.955786,-0.001976,619125.000000,621948.000000
1261.409869,-0.001535,624551.000000,626763.000000
1264.859721,-0.001478,629900.000000,632047.000000
1268.305342,-0.001408,634345.000000,636405.000000
1271.746732,-0.000970,638574.000000,640002.000000
1276.328670,-0.001067,642499.000000,644079.000000
1279.760187,-0.000880,645905.000000,647215.000000
