Method:,Column 1,,
Host Date-Time:,21/11/24 @ 17:26:21,,
Header Version:,1,,
System Temp (C):,37.63,,
Detector Temp (C):,36.1,,
Humidity (%):,0.98,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.729,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,1.291155,108485.000000,5549.000000
905.375756,1.282204,121306.000000,6334.000000
909.237442,1.345903,131909.000000,5948.000000
913.094897,1.324821,143299.000000,6783.000000
916.948121,1.328088,156982.000000,7375.000000
922.079171,1.305730,179937.000000,8900.000000
925.922522,1.316921,200504.000000,9665.000000
929.761641,1.317650,222660.000000,10715.000000
933.596530,1.319405,244426.000000,11715.000000
937.427188,1.313738,263972.000000,12818.000000
941.253614,1.324074,281845.000000,13364.000000
945.075809,1.314007,297271.000000,14426.000000
950.165487,1.303383,315605.000000,15695.000000
953.977810,1.306934,328029.000000,16180.000000
957.785901,1.286838,340470.000000,17589.000000
961.589761,1.302508,352317.000000,17556.000000
965.389390,1.307193,363056.000000,17897.000000
969.184788,1.308403,373162.000000,18344.000000
972.975955,1.306480,382632.000000,18893.000000
976.762890,1.310323,391202.000000,19146.000000
981.805555,1.308131,400190.000000,19685.000000
985.582618,1.308960,406088.000000,19937.000000
989.355450,1.301901,410162.000000,20467.000000
993.124050,1.295270,412868.000000,20919.000000
996.888419,1.305586,414263.000000,20497.000000
1000.648557,1.310344,415476.000000,20333.000000
1004.404464,1.299318,415479.000000,20856.000000
1009.405758,1.305093,414358.000000,20525.000000
1013.151792,1.312198,412923.000000,20122.000000
1016.893595,1.306965,411526.000000,20297.000000
1020.631167,1.298454,409066.000000,20575.000000
1024.364507,1.300707,406777.000000,20354.000000
1028.093617,1.306571,404427.000000,19965.000000
1031.818495,1.297512,401911.000000,20259.000000
1036.778417,1.311634,398410.000000,19440.000000
1040.493423,1.305729,396204.000000,19597.000000
1044.204197,1.301422,394236.000000,19694.000000
1047.910740,1.308631,392042.000000,19262.000000
1051.613052,1.308948,389823.000000,19139.000000
