Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:24:6,,
Header Version:,1,,
System Temp (C):,33.95,,
Detector Temp (C):,34.77,,
Humidity (%):,1.76,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.684,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.071346,108485.000000,92050.000000
905.375756,0.075444,121306.000000,101962.000000
909.237442,0.077463,131909.000000,110360.000000
913.094897,0.078040,143299.000000,119730.000000
916.948121,0.079707,156982.000000,130660.000000
922.079171,0.080991,179937.000000,149324.000000
925.922522,0.082059,200504.000000,165983.000000
929.761641,0.081886,222660.000000,184398.000000
933.596530,0.082897,244426.000000,201953.000000
937.427188,0.081384,263972.000000,218864.000000
941.253614,0.081049,281845.000000,233863.000000
945.075809,0.079358,297271.000000,247625.000000
950.165487,0.079147,315605.000000,263025.000000
953.977810,0.077941,328029.000000,274139.000000
957.785901,0.078218,340470.000000,284355.000000
961.589761,0.078563,352317.000000,294016.000000
965.389390,0.078509,363056.000000,303015.000000
969.184788,0.078413,373162.000000,311519.000000
972.975955,0.078776,382632.000000,319158.000000
976.762890,0.079631,391202.000000,325664.000000
981.805555,0.079817,400190.000000,333004.000000
985.582618,0.080651,406088.000000,337263.000000
989.355450,0.080644,410162.000000,340652.000000
993.124050,0.081264,412868.000000,342411.000000
996.888419,0.081698,414263.000000,343224.000000
1000.648557,0.082427,415476.000000,343652.000000
1004.404464,0.083507,415479.000000,342801.000000
1009.405758,0.084313,414358.000000,341242.000000
1013.151792,0.085244,412923.000000,339332.000000
1016.893595,0.085851,411526.000000,337712.000000
1020.631167,0.085109,409066.000000,336267.000000
1024.364507,0.085564,406777.000000,334035.000000
1028.093617,0.085387,404427.000000,332241.000000
1031.818495,0.085392,401911.000000,330170.000000
1036.778417,0.085421,398410.000000,327272.000000
1040.493423,0.084889,396204.000000,325859.000000
1044.204197,0.085025,394236.000000,324139.000000
1047.910740,0.084934,392042.000000,322403.000000
1051.613052,0.083411,389823.000000,321704.000000
1055.311133,0.083595,388234.000000,320257.000000
1059.004983,0.083451,387599.000000,319839.000000
1063.923534,0.082644,386688.000000,319681.000000
1067.607511,0.081833,386598.000000,320204.000000
1071.287257,0.081300,387377.000000,321243.000000
1074.962771,0.080435,388536.000000,322847.000000
1078.634055,0.080357,389855.000000,324001.000000
1082.301107,0.079284,391215.000000,325935.000000
1085.963928,0.078763,393215.000000,327995.000000
1090.841108,0.077824,396270.000000,331259.000000
1094.494056,0.077116,398760.000000,333884.000000
1098.142773,0.076278,400987.000000,336397.000000
1101.787259,0.076442,403477.000000,338358.000000
1105.427514,0.075469,406116.000000,341335.000000
1109.063538,0.074654,407701.000000,343311.000000
1112.695330,0.074732,409859.000000,345066.000000
1117.531139,0.074299,412494.000000,347631.000000
1121.153058,0.075195,414909.000000,348946.000000
1124.770747,0.074572,416559.000000,350836.000000
1128.384204,0.076105,418532.000000,351256.000000
1131.993431,0.077280,419956.000000,351499.000000
1135.598426,0.078238,421946.000000,352386.000000
1139.199190,0.079526,423881.000000,352954.000000
1143.993626,0.081937,426786.000000,353405.000000
1147.584518,0.082570,428617.000000,354405.000000
1151.171178,0.083193,431169.000000,356004.000000
1154.753606,0.084881,433579.000000,356605.000000
1158.331804,0.085773,436264.000000,358077.000000
1161.905771,0.087272,439132.000000,359189.000000
1165.475506,0.090060,442389.000000,359538.000000
1169.041010,0.091682,446101.000000,361203.000000
1173.788434,0.094923,451929.000000,363201.000000
1177.344065,0.097366,456026.000000,364438.000000
1180.895466,0.099643,461306.000000,366730.000000
1184.442635,0.101443,467657.000000,370241.000000
1187.985573,0.101824,473969.000000,374909.000000
1191.524279,0.102362,479856.000000,379096.000000
1195.058755,0.102737,487372.000000,384701.000000
1199.764807,0.101275,497347.000000,393899.000000
1203.289410,0.100827,504311.000000,399826.000000
1206.809782,0.100061,511507.000000,406247.000000
1210.325922,0.099552,519078.000000,412744.000000
1213.837832,0.098532,527163.000000,420158.000000
1217.345510,0.098484,534208.000000,425820.000000
1220.848957,0.098077,540472.000000,431217.000000
1225.513638,0.097138,549929.000000,439712.000000
1229.007212,0.096408,556888.000000,446026.000000
1232.496555,0.095945,562180.000000,450744.000000
1235.981667,0.095658,567975.000000,455692.000000
1239.462548,0.094481,574815.000000,462431.000000
1242.939198,0.093526,582782.000000,469873.000000
1246.411616,0.092939,591476.000000,477527.000000
1251.034925,0.092912,604016.000000,487682.000000
1254.497471,0.092901,612289.000000,494374.000000
1257.955786,0.093393,619125.000000,499327.000000
1261.409869,0.093475,624551.000000,503608.000000
1264.859721,0.094268,629900.000000,506995.000000
1268.305342,0.094783,634345.000000,509967.000000
1271.746732,0.095812,638574.000000,512153.000000
1276.328670,0.096121,642499.000000,514934.000000
1279.760187,0.095560,645905.000000,518333.000000
1283.187473,0.095156,648307.000000,520744.000000
1286.610528,0.095013,650446.000000,522635.000000
1290.029352,0.094486,652132.000000,524626.000000
1293.443944,0.093709,653907.000000,526995.000000
1296.854305,0.093557,655963.000000,528838.000000
1301.394872,0.093919,657349.000000,529514.000000
1304.795360,0.093200,657558.000000,530559.000000
1308.191618,0.093335,658515.000000,531167.000000
1311.583644,0.093516,658804.000000,531178.000000
1314.971439,0.094525,659011.000000,530112.000000
1318.355003,0.094671,658272.000000,529340.000000
1321.734336,0.094937,658022.000000,528814.000000
1326.233531,0.095729,657870.000000,527729.000000
1329.602991,0.096524,656482.000000,525653.000000
1332.968219,0.097175,654926.000000,523621.000000
1336.329217,0.098664,653727.000000,520874.000000
1339.685984,0.099430,652497.000000,518978.000000
1343.038519,0.101121,649913.000000,514914.000000
1346.386823,0.102910,647671.000000,511028.000000
