Method:,Column 1,,
Host Date-Time:,18/4/24 @ 11:5:7,,
Header Version:,1,,
System Temp (C):,33.6,,
Detector Temp (C):,31.63,,
Humidity (%):,7.25,,
Lamp PD:,1102,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.671,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,-0.008546,108485.000000,110641.000000
905.375756,-0.003185,121306.000000,122199.000000
909.237442,-0.002361,131909.000000,132628.000000
913.094897,-0.000388,143299.000000,143427.000000
916.948121,-0.001100,156982.000000,157380.000000
922.079171,-0.000962,179937.000000,180336.000000
925.922522,-0.001125,200504.000000,201024.000000
929.761641,0.000478,222660.000000,222415.000000
933.596530,-0.000728,244426.000000,244836.000000
937.427188,-0.000963,263972.000000,264558.000000
941.253614,-0.000737,281845.000000,282324.000000
945.075809,-0.001339,297271.000000,298189.000000
950.165487,-0.001840,315605.000000,316945.000000
953.977810,-0.002145,328029.000000,329653.000000
957.785901,-0.002073,340470.000000,342099.000000
961.589761,-0.002288,352317.000000,354178.000000
965.389390,-0.003186,363056.000000,365729.000000
969.184788,-0.002267,373162.000000,375115.000000
972.975955,-0.001853,382632.000000,384268.000000
976.762890,-0.001512,391202.000000,392566.000000
981.805555,-0.000411,400190.000000,400569.000000
985.582618,-0.000172,406088.000000,406249.000000
989.355450,0.000275,410162.000000,409902.000000
993.124050,0.000898,412868.000000,412015.000000
996.888419,0.000837,414263.000000,413465.000000
1000.648557,0.001571,415476.000000,413976.000000
