Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:38:52,,
Header Version:,1,,
System Temp (C):,34.85,,
Detector Temp (C):,35.54,,
Humidity (%):,0.78,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.677,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.007067,108485.000000,106734.000000
905.375756,0.014421,121306.000000,117344.000000
909.237442,0.016040,131909.000000,127126.000000
913.094897,0.017139,143299.000000,137754.000000
916.948121,0.017682,156982.000000,150719.000000
922.079171,0.020775,179937.000000,171532.000000
925.922522,0.021581,200504.000000,190784.000000
929.761641,0.023257,222660.000000,211050.000000
933.596530,0.022137,244426.000000,232279.000000
937.427188,0.020959,263972.000000,251535.000000
941.253614,0.021535,281845.000000,268210.000000
945.075809,0.019911,297271.000000,283950.000000
950.165487,0.018515,315605.000000,302433.000000
953.977810,0.017876,328029.000000,314801.000000
957.785901,0.017972,340470.000000,326668.000000
961.589761,0.017858,352317.000000,338124.000000
965.389390,0.017271,363056.000000,348901.000000
969.184788,0.017477,373162.000000,358443.000000
972.975955,0.017069,382632.000000,367885.000000
976.762890,0.017804,391202.000000,375489.000000
981.805555,0.017446,400190.000000,384433.000000
985.582618,0.018513,406088.000000,389141.000000
989.355450,0.017626,410162.000000,393849.000000
993.124050,0.018431,412868.000000,395713.000000
996.888419,0.018115,414263.000000,397339.000000
1000.648557,0.018632,415476.000000,398028.000000
1004.404464,0.019343,415479.000000,397380.000000
1009.405758,0.019960,414358.000000,395745.000000
1013.151792,0.019545,412923.000000,394752.000000
1016.893595,0.019531,411526.000000,393429.000000
1020.631167,0.019387,409066.000000,391207.000000
1024.364507,0.019611,406777.000000,388817.000000
1028.093617,0.019210,404427.000000,386928.000000
1031.818495,0.019192,401911.000000,384537.000000
1036.778417,0.018816,398410.000000,381517.000000
1040.493423,0.017949,396204.000000,380163.000000
1044.204197,0.018423,394236.000000,377862.000000
1047.910740,0.018474,392042.000000,375715.000000
1051.613052,0.017191,389823.000000,374694.000000
1055.311133,0.017392,388234.000000,372994.000000
1059.004983,0.017100,387599.000000,372634.000000
1063.923534,0.017005,386688.000000,371840.000000
1067.607511,0.016005,386598.000000,372610.000000
1071.287257,0.016380,387377.000000,373039.000000
1074.962771,0.016242,388536.000000,374274.000000
1078.634055,0.015760,389855.000000,375961.000000
1082.301107,0.015384,391215.000000,377600.000000
1085.963928,0.014753,393215.000000,380082.000000
1090.841108,0.015112,396270.000000,382718.000000
1094.494056,0.014874,398760.000000,385334.000000
1098.142773,0.015815,400987.000000,386648.000000
1101.787259,0.015354,403477.000000,389462.000000
1105.427514,0.016710,406116.000000,390787.000000
1109.063538,0.017271,407701.000000,391806.000000
1112.695330,0.018713,409859.000000,392574.000000
1117.531139,0.022461,412494.000000,391703.000000
1121.153058,0.026640,414909.000000,390223.000000
1124.770747,0.028565,416559.000000,390042.000000
1128.384204,0.029783,418532.000000,390792.000000
1131.993431,0.027851,419956.000000,393870.000000
1135.598426,0.025524,421946.000000,397862.000000
1139.199190,0.022248,423881.000000,402713.000000
1143.993626,0.020832,426786.000000,406797.000000
1147.584518,0.020760,428617.000000,408610.000000
1151.171178,0.020662,431169.000000,411136.000000
1154.753606,0.020604,433579.000000,413489.000000
1158.331804,0.021557,436264.000000,415138.000000
1161.905771,0.021552,439132.000000,417872.000000
1165.475506,0.022461,442389.000000,420091.000000
1169.041010,0.022417,446101.000000,423659.000000
1173.788434,0.022316,451929.000000,429293.000000
1177.344065,0.022027,456026.000000,433474.000000
1180.895466,0.021409,461306.000000,439117.000000
1184.442635,0.020767,467657.000000,445821.000000
1187.985573,0.020011,473969.000000,452625.000000
1191.524279,0.020120,479856.000000,458132.000000
1195.058755,0.019816,487372.000000,465634.000000
1199.764807,0.019907,497347.000000,475064.000000
1203.289410,0.020263,504311.000000,481322.000000
1206.809782,0.020385,511507.000000,488052.000000
1210.325922,0.020561,519078.000000,495076.000000
1213.837832,0.020712,527163.000000,502612.000000
1217.345510,0.021261,534208.000000,508685.000000
1220.848957,0.020762,540472.000000,515242.000000
1225.513638,0.021142,549929.000000,523799.000000
1229.007212,0.021162,556888.000000,530403.000000
1232.496555,0.020785,562180.000000,535908.000000
1235.981667,0.021081,567975.000000,541064.000000
1239.462548,0.020035,574815.000000,548900.000000
1242.939198,0.019522,582782.000000,557165.000000
1246.411616,0.019555,591476.000000,565434.000000
1251.034925,0.019624,604016.000000,577331.000000
1254.497471,0.019983,612289.000000,584755.000000
1257.955786,0.020326,619125.000000,590816.000000
1261.409869,0.020110,624551.000000,596290.000000
1264.859721,0.020547,629900.000000,600792.000000
1268.305342,0.020610,634345.000000,604944.000000
1271.746732,0.021098,638574.000000,608293.000000
1276.328670,0.021149,642499.000000,611960.000000
1279.760187,0.021113,645905.000000,615256.000000
1283.187473,0.021307,648307.000000,617268.000000
1286.610528,0.021459,650446.000000,619088.000000
1290.029352,0.021462,652132.000000,620688.000000
1293.443944,0.020804,653907.000000,623321.000000
1296.854305,0.021006,655963.000000,624990.000000
1301.394872,0.020909,657349.000000,626451.000000
1304.795360,0.021227,657558.000000,626191.000000
1308.191618,0.021722,658515.000000,626388.000000
1311.583644,0.021268,658804.000000,627319.000000
1314.971439,0.021575,659011.000000,627073.000000
1318.355003,0.021794,658272.000000,626054.000000
1321.734336,0.022037,658022.000000,625465.000000
1326.233531,0.022843,657870.000000,624161.000000
1329.602991,0.023054,656482.000000,622542.000000
1332.968219,0.023013,654926.000000,621126.000000
1336.329217,0.023858,653727.000000,618783.000000
1339.685984,0.024621,652497.000000,616535.000000
1343.038519,0.025663,649913.000000,612622.000000
1346.386823,0.027365,647671.000000,608120.000000
1349.730896,0.028375,645338.000000,604522.000000
1354.183078,0.029774,641175.000000,598691.000000
1357.517278,0.030643,638376.000000,594886.000000
1360.847247,0.030875,635805.000000,592174.000000
1364.172985,0.031174,633413.000000,589540.000000
1367.494492,0.031588,631026.000000,586758.000000
1370.811767,0.031790,628050.000000,583720.000000
1374.124812,0.032244,625034.000000,580309.000000
1378.535622,0.032473,620272.000000,575584.000000
1381.838794,0.033262,616892.000000,571409.000000
1385.137734,0.033829,613613.000000,567630.000000
1388.432444,0.034194,611526.000000,565224.000000
1391.722922,0.035295,610663.000000,562998.000000
1395.009169,0.036279,610634.000000,561697.000000
1398.291185,0.038195,611700.000000,560200.000000
1402.660624,0.039678,614051.000000,560437.000000
1405.932767,0.041144,616268.000000,560564.000000
1409.200679,0.042509,617795.000000,560190.000000
1412.464359,0.043697,618872.000000,559634.000000
1415.723809,0.044782,619795.000000,559070.000000
1418.979027,0.044903,620495.000000,559545.000000
1422.230015,0.045605,621087.000000,559174.000000
1426.558082,0.045634,621375.000000,559396.000000
1429.799197,0.046016,621616.000000,559121.000000
1433.036080,0.046139,622129.000000,559425.000000
1436.268732,0.045806,621526.000000,559311.000000
1439.497153,0.045659,621113.000000,559129.000000
1442.721343,0.045447,620921.000000,559228.000000
1445.941302,0.045790,620270.000000,558201.000000
1450.227998,0.045634,618860.000000,557133.000000
1453.438084,0.045854,617697.000000,555804.000000
1456.643939,0.046454,616264.000000,553749.000000
1459.845562,0.046138,614413.000000,552487.000000
1463.042954,0.046606,612307.000000,550001.000000
1466.236116,0.047539,610032.000000,546781.000000
1469.425046,0.047816,607345.000000,544026.000000
1473.670371,0.049052,603789.000000,539303.000000
1476.849428,0.049796,601175.000000,536050.000000
1480.024254,0.050019,597737.000000,532710.000000
1483.194849,0.050777,594479.000000,528883.000000
1486.361213,0.050822,591232.000000,525940.000000
1489.523345,0.051015,587853.000000,522702.000000
1492.681247,0.050790,583875.000000,519434.000000
1496.885200,0.050510,578062.000000,514594.000000
1500.033229,0.049681,574159.000000,512096.000000
1503.177027,0.048917,570285.000000,509536.000000
1506.316593,0.048734,565444.000000,505424.000000
1509.451928,0.047930,560571.000000,501997.000000
1512.583032,0.047527,555821.000000,498205.000000
1515.709905,0.046811,550344.000000,494109.000000
1519.872487,0.046168,543983.000000,489122.000000
1522.989487,0.045956,538764.000000,484666.000000
