Method:,Column 1,,
Host Date-Time:,21/11/24 @ 16:53:15,,
Header Version:,1,,
System Temp (C):,34.32,,
Detector Temp (C):,31.8,,
Humidity (%):,2.35,,
Lamp PD:,3802,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.724,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,1.326864,108485.000000,5111.000000
905.375756,1.291981,121306.000000,6193.000000
909.237442,1.333027,131909.000000,6127.000000
913.094897,1.314133,143299.000000,6952.000000
916.948121,1.330509,156982.000000,7334.000000
922.079171,1.307491,179937.000000,8864.000000
925.922522,1.321665,200504.000000,9560.000000
929.761641,1.324513,222660.000000,10547.000000
933.596530,1.334915,244426.000000,11304.000000
937.427188,1.316661,263972.000000,12732.000000
941.253614,1.323035,281845.000000,13396.000000
945.075809,1.331327,297271.000000,13862.000000
950.165487,1.320455,315605.000000,15090.000000
953.977810,1.317695,328029.000000,15784.000000
957.785901,1.319359,340470.000000,16320.000000
961.589761,1.317841,352317.000000,16947.000000
965.389390,1.316043,363056.000000,17536.000000
969.184788,1.312662,373162.000000,18165.000000
972.975955,1.298035,382632.000000,19264.000000
976.762890,1.310981,391202.000000,19117.000000
981.805555,1.310564,400190.000000,19575.000000
985.582618,1.316098,406088.000000,19612.000000
989.355450,1.307626,410162.000000,20199.000000
993.124050,1.307418,412868.000000,20342.000000
996.888419,1.313476,414263.000000,20128.000000
1000.648557,1.309129,415476.000000,20390.000000
1004.404464,1.309707,415479.000000,20363.000000
1009.405758,1.314266,414358.000000,20096.000000
1013.151792,1.312824,412923.000000,20093.000000
1016.893595,1.312933,411526.000000,20020.000000
1020.631167,1.312395,409066.000000,19925.000000
1024.364507,1.304242,406777.000000,20189.000000
1028.093617,1.318658,404427.000000,19417.000000
1031.818495,1.309620,401911.000000,19702.000000
1036.778417,1.313806,398410.000000,19343.000000
1040.493423,1.312092,396204.000000,19312.000000
1044.204197,1.309749,394236.000000,19320.000000
1047.910740,1.317216,392042.000000,18885.000000
1051.613052,1.320235,389823.000000,18648.000000
1055.311133,1.308606,388234.000000,19076.000000
1059.004983,1.318146,387599.000000,18631.000000
1063.923534,1.321411,386688.000000,18448.000000
1067.607511,1.317327,386598.000000,18618.000000
1071.287257,1.318061,387377.000000,18624.000000
1074.962771,1.318054,388536.000000,18680.000000
1078.634055,1.320434,389855.000000,18641.000000
1082.301107,1.322879,391215.000000,18601.000000
1085.963928,1.322208,393215.000000,18725.000000
1090.841108,1.319146,396270.000000,19004.000000
1094.494056,1.324319,398760.000000,18897.000000
1098.142773,1.316809,400987.000000,19334.000000
1101.787259,1.319902,403477.000000,19316.000000
1105.427514,1.329531,406116.000000,19016.000000
1109.063538,1.326362,407701.000000,19230.000000
1112.695330,1.311431,409859.000000,20008.000000
1117.531139,1.320731,412494.000000,19710.000000
1121.153058,1.316836,414909.000000,20004.000000
1124.770747,1.326845,416559.000000,19626.000000
1128.384204,1.319571,418532.000000,20052.000000
1131.993431,1.320245,419956.000000,20089.000000
1135.598426,1.317483,421946.000000,20313.000000
1139.199190,1.318104,423881.000000,20377.000000
1143.993626,1.317081,426786.000000,20565.000000
1147.584518,1.327730,428617.000000,20153.000000
1151.171178,1.321434,431169.000000,20569.000000
1154.753606,1.318087,433579.000000,20844.000000
1158.331804,1.319998,436264.000000,20881.000000
1161.905771,1.319859,439132.000000,21025.000000
1165.475506,1.326136,442389.000000,20877.000000
1169.041010,1.320870,446101.000000,21309.000000
1173.788434,1.320496,451929.000000,21606.000000
1177.344065,1.322390,456026.000000,21707.000000
1180.895466,1.320817,461306.000000,22038.000000
1184.442635,1.329265,467657.000000,21911.000000
1187.985573,1.321718,473969.000000,22596.000000
1191.524279,1.325047,479856.000000,22702.000000
1195.058755,1.317607,487372.000000,23456.000000
1199.764807,1.324632,497347.000000,23552.000000
1203.289410,1.315487,504311.000000,24390.000000
1206.809782,1.328026,511507.000000,24034.000000
1210.325922,1.319190,519078.000000,24891.000000
1213.837832,1.327073,527163.000000,24824.000000
1217.345510,1.324899,534208.000000,25282.000000
1220.848957,1.322739,540472.000000,25706.000000
1225.513638,1.332270,549929.000000,25588.000000
1229.007212,1.328811,556888.000000,26119.000000
1232.496555,1.332238,562180.000000,26160.000000
1235.981667,1.330101,567975.000000,26560.000000
1239.462548,1.327570,574815.000000,27037.000000
1242.939198,1.329550,582782.000000,27287.000000
1246.411616,1.323819,591476.000000,28062.000000
1251.034925,1.330738,604016.000000,28204.000000
1254.497471,1.331594,612289.000000,28534.000000
1257.955786,1.328378,619125.000000,29067.000000
1261.409869,1.331108,624551.000000,29138.000000
1264.859721,1.331294,629900.000000,29375.000000
1268.305342,1.329394,634345.000000,29712.000000
1271.746732,1.331899,638574.000000,29738.000000
1276.328670,1.330491,642499.000000,30018.000000
1279.760187,1.325826,645905.000000,30503.000000
1283.187473,1.334298,648307.000000,30025.000000
1286.610528,1.333866,650446.000000,30154.000000
1290.029352,1.332291,652132.000000,30342.000000
1293.443944,1.328321,653907.000000,30704.000000
1296.854305,1.334649,655963.000000,30355.000000
1301.394872,1.336339,657349.000000,30301.000000
1304.795360,1.334204,657558.000000,30460.000000
1308.191618,1.332972,658515.000000,30591.000000
1311.583644,1.331024,658804.000000,30742.000000
1314.971439,1.333597,659011.000000,30570.000000
1318.355003,1.331706,658272.000000,30669.000000
1321.734336,1.335581,658022.000000,30385.000000
1326.233531,1.333086,657870.000000,30553.000000
1329.602991,1.340131,656482.000000,29998.000000
1332.968219,1.334248,654926.000000,30335.000000
1336.329217,1.333696,653727.000000,30318.000000
1339.685984,1.332978,652497.000000,30311.000000
1343.038519,1.333150,649913.000000,30179.000000
1346.386823,1.336032,647671.000000,29876.000000
1349.730896,1.332391,645338.000000,30019.000000
1354.183078,1.332994,641175.000000,29784.000000
1357.517278,1.333360,638376.000000,29629.000000
1360.847247,1.334165,635805.000000,29455.000000
1364.172985,1.334612,633413.000000,29314.000000
1367.494492,1.327905,631026.000000,29658.000000
1370.811767,1.328997,628050.000000,29444.000000
1374.124812,1.329986,625034.000000,29236.000000
1378.535622,1.332979,620272.000000,28814.000000
1381.838794,1.331737,616892.000000,28739.000000
1385.137734,1.329302,613613.000000,28747.000000
1388.432444,1.328957,611526.000000,28672.000000
1391.722922,1.327103,610663.000000,28754.000000
1395.009169,1.332493,610634.000000,28398.000000
1398.291185,1.330841,611700.000000,28556.000000
1402.660624,1.332127,614051.000000,28581.000000
1405.932767,1.328136,616268.000000,28949.000000
1409.200679,1.331301,617795.000000,28810.000000
1412.464359,1.339830,618872.000000,28299.000000
1415.723809,1.338089,619795.000000,28455.000000
1418.979027,1.330670,620495.000000,28978.000000
1422.230015,1.340171,621087.000000,28378.000000
1426.558082,1.339684,621375.000000,28423.000000
1429.799197,1.334628,621616.000000,28767.000000
1433.036080,1.336695,622129.000000,28654.000000
1436.268732,1.335366,621526.000000,28714.000000
1439.497153,1.335531,621113.000000,28684.000000
1442.721343,1.338801,620921.000000,28460.000000
1445.941302,1.337797,620270.000000,28496.000000
1450.227998,1.335819,618860.000000,28561.000000
1453.438084,1.338207,617697.000000,28351.000000
1456.643939,1.340767,616264.000000,28119.000000
1459.845562,1.336582,614413.000000,28306.000000
1463.042954,1.340665,612307.000000,27945.000000
1466.236116,1.338102,610032.000000,28006.000000
1469.425046,1.343125,607345.000000,27562.000000
1473.670371,1.339787,603789.000000,27612.000000
1476.849428,1.342632,601175.000000,27313.000000
1480.024254,1.338997,597737.000000,27385.000000
1483.194849,1.339823,594479.000000,27184.000000
1486.361213,1.339783,591232.000000,27038.000000
1489.523345,1.337776,587853.000000,27008.000000
1492.681247,1.341961,583875.000000,26568.000000
1496.885200,1.342994,578062.000000,26241.000000
1500.033229,1.350216,574159.000000,25634.000000
1503.177027,1.341737,570285.000000,25963.000000
1506.316593,1.340282,565444.000000,25829.000000
1509.451928,1.344327,560571.000000,25369.000000
1512.583032,1.343345,555821.000000,25211.000000
1515.709905,1.342017,550344.000000,25039.000000
1519.872487,1.342519,543983.000000,24721.000000
1522.989487,1.333928,538764.000000,24973.000000
1526.102256,1.338959,533692.000000,24453.000000
1529.210794,1.338720,527902.000000,24201.000000
1532.315101,1.339650,521886.000000,23874.000000
1535.415176,1.336526,515888.000000,23770.000000
1538.511021,1.338919,509987.000000,23369.000000
1541.602634,1.338294,503936.000000,23125.000000
1545.718203,1.335660,494694.000000,22839.000000
1548.799943,1.334590,488378.000000,22603.000000
1551.877452,1.337855,481832.000000,22133.000000
1554.950730,1.340865,474989.000000,21668.000000
1558.019777,1.337457,467818.000000,21509.000000
1561.084593,1.335046,460730.000000,21301.000000
1564.145177,1.335165,454170.000000,20992.000000
1568.219375,1.345749,444181.000000,20036.000000
1571.270087,1.330650,436947.000000,20407.000000
1574.316568,1.333577,429598.000000,19929.000000
1577.358817,1.334784,422039.000000,19524.000000
1580.396835,1.330802,414375.000000,19346.000000
1583.430622,1.328076,406354.000000,19091.000000
1586.460178,1.337665,398475.000000,18312.000000
1590.493005,1.333067,388982.000000,18066.000000
1593.512688,1.337579,380708.000000,17499.000000
1596.528140,1.336975,372727.000000,17156.000000
1599.539361,1.334992,365060.000000,16880.000000
1602.546350,1.327244,357543.000000,16830.000000
1605.549109,1.342372,349495.000000,15888.000000
1608.547636,1.330054,341154.000000,15955.000000
1612.539091,1.325485,330877.000000,15638.000000
1615.527746,1.322937,322904.000000,15351.000000
1618.512169,1.326510,315116.000000,14858.000000
1621.492362,1.325120,307217.000000,14532.000000
1624.468323,1.327304,299481.000000,14095.000000
1627.440053,1.328575,292112.000000,13708.000000
1630.407551,1.314318,284245.000000,13784.000000
1634.357635,1.324936,274079.000000,12970.000000
1637.315261,1.327385,266916.000000,12560.000000
1640.268656,1.317449,259612.000000,12499.000000
1643.217819,1.307606,251804.000000,12401.000000
1646.162752,1.328597,244348.000000,11466.000000
1649.103453,1.313204,236703.000000,11508.000000
1652.039924,1.306876,228171.000000,11256.000000
1655.948635,1.319877,215408.000000,10313.000000
1658.875233,1.300642,204937.000000,10256.000000
1661.797599,1.311151,193395.000000,9447.000000
1664.715734,1.277533,179728.000000,9486.000000
1667.629638,1.275776,163642.000000,8672.000000
