Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:29:9,,
Header Version:,1,,
System Temp (C):,34.09,,
Detector Temp (C):,34.9,,
Humidity (%):,1.66,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.670,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.069463,108485.000000,92450.000000
905.375756,0.074712,121306.000000,102134.000000
909.237442,0.077132,131909.000000,110444.000000
913.094897,0.077218,143299.000000,119957.000000
916.948121,0.077754,156982.000000,131249.000000
922.079171,0.081701,179937.000000,149080.000000
925.922522,0.082023,200504.000000,165997.000000
929.761641,0.082065,222660.000000,184322.000000
933.596530,0.082828,244426.000000,201985.000000
937.427188,0.080680,263972.000000,219219.000000
941.253614,0.080403,281845.000000,234211.000000
945.075809,0.079753,297271.000000,247400.000000
950.165487,0.078685,315605.000000,263305.000000
953.977810,0.076837,328029.000000,274837.000000
957.785901,0.077322,340470.000000,284942.000000
961.589761,0.078027,352317.000000,294379.000000
965.389390,0.077599,363056.000000,303651.000000
969.184788,0.077622,373162.000000,312087.000000
972.975955,0.078202,382632.000000,319580.000000
976.762890,0.078852,391202.000000,326249.000000
981.805555,0.079134,400190.000000,333528.000000
985.582618,0.079782,406088.000000,337939.000000
989.355450,0.079666,410162.000000,341420.000000
993.124050,0.080403,412868.000000,343090.000000
996.888419,0.081215,414263.000000,343606.000000
1000.648557,0.081484,415476.000000,344399.000000
1004.404464,0.082644,415479.000000,343483.000000
1009.405758,0.084014,414358.000000,341477.000000
1013.151792,0.084439,412923.000000,339962.000000
1016.893595,0.084622,411526.000000,338669.000000
1020.631167,0.084236,409066.000000,336944.000000
1024.364507,0.085077,406777.000000,334410.000000
1028.093617,0.084413,404427.000000,332987.000000
1031.818495,0.084483,401911.000000,330862.000000
1036.778417,0.083831,398410.000000,328473.000000
1040.493423,0.083775,396204.000000,326696.000000
1044.204197,0.083722,394236.000000,325113.000000
1047.910740,0.083629,392042.000000,323373.000000
1051.613052,0.083420,389823.000000,321697.000000
1055.311133,0.083051,388234.000000,320658.000000
1059.004983,0.082284,387599.000000,320700.000000
1063.923534,0.081703,386688.000000,320374.000000
1067.607511,0.080913,386598.000000,320883.000000
1071.287257,0.080542,387377.000000,321804.000000
1074.962771,0.080261,388536.000000,322976.000000
1078.634055,0.079406,389855.000000,324711.000000
1082.301107,0.077866,391215.000000,327001.000000
1085.963928,0.077993,393215.000000,328577.000000
1090.841108,0.077099,396270.000000,331812.000000
1094.494056,0.076475,398760.000000,334377.000000
1098.142773,0.075716,400987.000000,336833.000000
1101.787259,0.075106,403477.000000,339401.000000
1105.427514,0.075045,406116.000000,341669.000000
1109.063538,0.073970,407701.000000,343852.000000
1112.695330,0.073324,409859.000000,346187.000000
1117.531139,0.073176,412494.000000,348531.000000
1121.153058,0.074563,414909.000000,349454.000000
1124.770747,0.073906,416559.000000,351375.000000
1128.384204,0.074950,418532.000000,352191.000000
1131.993431,0.075804,419956.000000,352695.000000
1135.598426,0.077613,421946.000000,352894.000000
1139.199190,0.078958,423881.000000,353416.000000
1143.993626,0.080451,426786.000000,354617.000000
1147.584518,0.081210,428617.000000,355516.000000
1151.171178,0.082315,431169.000000,356724.000000
1154.753606,0.083315,433579.000000,357893.000000
1158.331804,0.084402,436264.000000,359209.000000
1161.905771,0.086701,439132.000000,359662.000000
1165.475506,0.088599,442389.000000,360749.000000
1169.041010,0.090709,446101.000000,362013.000000
1173.788434,0.093828,451929.000000,364118.000000
1177.344065,0.095999,456026.000000,365587.000000
1180.895466,0.098516,461306.000000,367683.000000
1184.442635,0.100095,467657.000000,371392.000000
1187.985573,0.101248,473969.000000,375407.000000
1191.524279,0.101213,479856.000000,380100.000000
1195.058755,0.101308,487372.000000,385969.000000
1199.764807,0.100252,497347.000000,394828.000000
1203.289410,0.099601,504311.000000,400957.000000
1206.809782,0.099407,511507.000000,406860.000000
1210.325922,0.098706,519078.000000,413549.000000
1213.837832,0.097971,527163.000000,420701.000000
1217.345510,0.097476,534208.000000,426810.000000
1220.848957,0.096851,540472.000000,432436.000000
1225.513638,0.095742,549929.000000,441128.000000
1229.007212,0.095656,556888.000000,446799.000000
1232.496555,0.094102,562180.000000,452661.000000
1235.981667,0.093952,567975.000000,457485.000000
1239.462548,0.093308,574815.000000,463682.000000
1242.939198,0.092234,582782.000000,471273.000000
1246.411616,0.091583,591476.000000,479021.000000
1251.034925,0.091448,604016.000000,489328.000000
1254.497471,0.091711,612289.000000,495730.000000
1257.955786,0.092242,619125.000000,500653.000000
1261.409869,0.092486,624551.000000,504756.000000
1264.859721,0.093119,629900.000000,508338.000000
1268.305342,0.093725,634345.000000,511211.000000
1271.746732,0.094380,638574.000000,513844.000000
1276.328670,0.094624,642499.000000,516712.000000
1279.760187,0.094319,645905.000000,519816.000000
1283.187473,0.093709,648307.000000,522482.000000
1286.610528,0.093613,650446.000000,524322.000000
1290.029352,0.093072,652132.000000,526337.000000
1293.443944,0.092677,653907.000000,528249.000000
1296.854305,0.092522,655963.000000,530099.000000
1301.394872,0.092218,657349.000000,531592.000000
1304.795360,0.092324,657558.000000,531631.000000
1308.191618,0.092364,658515.000000,532355.000000
1311.583644,0.092358,658804.000000,532596.000000
1314.971439,0.092571,659011.000000,532502.000000
1318.355003,0.093268,658272.000000,531052.000000
